Username,Comment,Normalisasi,Tokenization,Stopwords,Stemming,Translated
@hendriktangrapa,"Syukurlah PDIP luluh lantak, ini suatu pelajaran agar Ketum PDIP bisa koreksi diri agar lebih rendah hati, lebih baik dan santun dalam menghargai orang lain  ! KESOMBONGAN SAMA HALNYA MENENTANG YANG MAHA KUASA. Kita ini hanya makhluk yang lemah, janganlah SOMBONG ATAU ANGKUH. Pak PRABOWO SUBIANTO dan GIBRAN pantas menjadi 01 dan 02 di NKRI tercinta ini. 🙏.",syukurlah pdip luluh lantak ini suatu pelajaran agar ketum pdip bisa koreksi diri agar lebih rendah hati lebih baik dan santun dalam menghargai orang lain kesombongan sama halnya menentang yang maha kuasa kita ini hanya makhluk yang lemah janganlah sombong atau angkuh pak prabowo subianto dan gibran pantas menjadi dan di nkri tercinta ini,"['syukurlah', 'pdip', 'luluh', 'lantak', 'ini', 'suatu', 'pelajaran', 'agar', 'ketum', 'pdip', 'bisa', 'koreksi', 'diri', 'agar', 'lebih', 'rendah', 'hati', 'lebih', 'baik', 'dan', 'santun', 'dalam', 'menghargai', 'orang', 'lain', 'kesombongan', 'sama', 'halnya', 'menentang', 'yang', 'maha', 'kuasa', 'kita', 'ini', 'hanya', 'makhluk', 'yang', 'lemah', 'janganlah', 'sombong', 'atau', 'angkuh', 'pak', 'prabowo', 'subianto', 'dan', 'gibran', 'pantas', 'menjadi', 'dan', 'di', 'nkri', 'tercinta', 'ini']","['syukurlah', 'pdip', 'luluh', 'lantak', 'pelajaran', 'ketum', 'pdip', 'koreksi', 'rendah', 'hati', 'santun', 'menghargai', 'orang', 'kesombongan', 'halnya', 'menentang', 'maha', 'kuasa', 'makhluk', 'lemah', 'sombong', 'angkuh', 'prabowo', 'subianto', 'gibran', 'nkri', 'tercinta']",syukur pdip luluh lantak ajar tum pdip koreksi rendah hati santun harga orang sombong hal tentang maha kuasa makhluk lemah sombong angkuh prabowo subianto gibran nkri cinta,Gratitude PDIP Little Lantak Teaching TUM PDIP Correction humble Cattle Price Arrogant People Things about the Almighty of Weak Arrogant Creature Prabowo Subianto Gibran Nkri Love
@iwanpangestu4680,SELAMAT BAGI PASLON YANG MENANG DAN UNTUK PASLON YANG KALAH BERSIKAPLAH LEGOWO DAN DUKUNG PASLON YANG MENANG UNTUK PEMBANGUNAN BANGSA DAN KALAU UNTUK PASLON YANG  KALAH KALAU NGGAK SIAP KALAH JANGAN NYALON,selamat bagi paslon yang menang dan untuk paslon yang kalah bersikaplah legowo dan dukung paslon yang menang untuk pembangunan bangsa dan kalau untuk paslon yang kalah kalau tidak siap kalah jangan nyalon,"['selamat', 'bagi', 'paslon', 'yang', 'menang', 'dan', 'untuk', 'paslon', 'yang', 'kalah', 'bersikaplah', 'legowo', 'dan', 'dukung', 'paslon', 'yang', 'menang', 'untuk', 'pembangunan', 'bangsa', 'dan', 'kalau', 'untuk', 'paslon', 'yang', 'kalah', 'kalau', 'tidak', 'siap', 'kalah', 'jangan', 'nyalon']","['selamat', 'paslon', 'menang', 'paslon', 'kalah', 'bersikaplah', 'legowo', 'dukung', 'paslon', 'menang', 'pembangunan', 'bangsa', 'paslon', 'kalah', 'kalah', 'nyalon']",selamat paslon menang paslon kalah sikap legowo dukung paslon menang bangun bangsa paslon kalah kalah nyalon,Congratulations Paslon Winning Paslon Lose Attitude Legowo Supports Paslon Winning to Build the Paslon Nation Lose Lose Nyalon
@paveticilacap8724,pnpwng hoak...,pnpwng hoak,"['pnpwng', 'hoak']","['pnpwng', 'hoak']",pnpwng hoak,ppwwng hook
@DedeMaryam-d6b,Dari aku Dede Maryam kudoa kan semoga semua baik2 ada nya menang pak Prabowo sukses selalu mohon dukungan nya ke pada semua nya agar lancar dan selamat amin yarobal alamin,dari aku adek maryam kudoa kan semoga semua ada ya menang pak prabowo sukses selalu mohon dukungan ya ke pada semua ya agar lancar dan selamat amin yarobal alamin,"['dari', 'aku', 'adek', 'maryam', 'kudoa', 'kan', 'semoga', 'semua', 'ada', 'ya', 'menang', 'pak', 'prabowo', 'sukses', 'selalu', 'mohon', 'dukungan', 'ya', 'ke', 'pada', 'semua', 'ya', 'agar', 'lancar', 'dan', 'selamat', 'amin', 'yarobal', 'alamin']","['adek', 'maryam', 'kudoa', 'semoga', 'menang', 'prabowo', 'sukses', 'mohon', 'dukungan', 'lancar', 'selamat', 'amin', 'yarobal', 'alamin']",adek maryam doa moga menang prabowo sukses mohon dukung lancar selamat amin yarobal alamin,Adek Maryam Prayer Moga Win Prabowo Successful Please Support Congratulations Amin Yarobal Alamin
@BANYULANGIT-be7no,sampai detik ini sudah sangat menohok siapa yang arogan siapa yang pecundang dan siapa yang tulus.. semoga Indonesiaku tetap tenang tentram dan damai<br>.. mari kita bersatu lagi jangan terpecah belah. jangan biarkan asing memanfaatkan celah. ya Allah lindungilah kami dan bangsa kami hindarkan dari orang&quot; yang harus akan kekuasaan 🤲🤲🤲🤲,sampai detik ini sudah sangat menohok siapa yang arogan siapa yang pecundang dan siapa yang tulus semoga indonesiaku tetap tenang tentram dan damai mari kita bersatu lagi jangan terpecah belah jangan biarkan asing memanfaatkan celah ya allah lindungilah kami dan bangsa kami hindarkan dari orang yang harus akan kekuasaan,"['sampai', 'detik', 'ini', 'sudah', 'sangat', 'menohok', 'siapa', 'yang', 'arogan', 'siapa', 'yang', 'pecundang', 'dan', 'siapa', 'yang', 'tulus', 'semoga', 'indonesiaku', 'tetap', 'tenang', 'tentram', 'dan', 'damai', 'mari', 'kita', 'bersatu', 'lagi', 'jangan', 'terpecah', 'belah', 'jangan', 'biarkan', 'asing', 'memanfaatkan', 'celah', 'ya', 'allah', 'lindungilah', 'kami', 'dan', 'bangsa', 'kami', 'hindarkan', 'dari', 'orang', 'yang', 'harus', 'akan', 'kekuasaan']","['detik', 'menohok', 'arogan', 'pecundang', 'tulus', 'semoga', 'indonesiaku', 'tenang', 'tentram', 'damai', 'mari', 'bersatu', 'terpecah', 'belah', 'biarkan', 'asing', 'memanfaatkan', 'celah', 'allah', 'lindungilah', 'bangsa', 'hindarkan', 'orang', 'kekuasaan']",detik tohok arogan cundang tulus moga indonesia tenang tentram damai mari satu pecah belah biar asing manfaat celah allah lindung bangsa hindar orang kuasa,"Seconds tohok Arogan Cundur sincerely, Indonesian hopefully calm peacefully"
@TomiKoya,Negara kuat dgn rakyat. <br>Rakyatlah Yg memilih. <br>Rakyat yg lebih tahu penderitaan negara ini.  Maka saatnya rakyat memilih pemimpin yg terbaik.,negara kuat dengan rakyat rakyatlah yang memilih rakyat yang lebih tahu penderitaan negara ini maka saatnya rakyat memilih pemimpin yang terbaik,"['negara', 'kuat', 'dengan', 'rakyat', 'rakyatlah', 'yang', 'memilih', 'rakyat', 'yang', 'lebih', 'tahu', 'penderitaan', 'negara', 'ini', 'maka', 'saatnya', 'rakyat', 'memilih', 'pemimpin', 'yang', 'terbaik']","['negara', 'kuat', 'rakyat', 'rakyatlah', 'memilih', 'rakyat', 'penderitaan', 'negara', 'rakyat', 'memilih', 'pemimpin', 'terbaik']",negara kuat rakyat rakyat pilih rakyat derita negara rakyat pilih pimpin baik,The strong country of the people choose the people suffering the people of the people choose good leaders
@كريسهكريسه,P8lih presiden cocoknya pa ganjar untuk indonesia maju,p8lih presiden cocoknya apa ganjar untuk indonesia maju,"['p8lih', 'presiden', 'cocoknya', 'apa', 'ganjar', 'untuk', 'indonesia', 'maju']","['p8lih', 'presiden', 'cocoknya', 'ganjar', 'indonesia', 'maju']",p8lih presiden cocok ganjar indonesia maju,P8Lih President Suitable for Ganjar Indonesia Forward
@كريسهكريسه,Biar unggul 02banyak kecurangan udah di coblos duluan g sah harusnya si di batalkan 02 di coblos di mn mn,biar unggul 02banyak kecurangan sudah di coblos duluan tidak sah harusnya sih di batalkan di coblos di mana mana,"['biar', 'unggul', '02banyak', 'kecurangan', 'sudah', 'di', 'coblos', 'duluan', 'tidak', 'sah', 'harusnya', 'sih', 'di', 'batalkan', 'di', 'coblos', 'di', 'mana', 'mana']","['biar', 'unggul', '02banyak', 'kecurangan', 'coblos', 'duluan', 'sah', 'sih', 'batalkan', 'coblos']",biar unggul 02banyak curang coblos duluan sah sih batal coblos,Let me win 02 many cheating votes first legally canceled voting
@AbyasRaga,Seng kalah isine muk kemropok tok,seng kalah isine muk kemropok tok,"['seng', 'kalah', 'isine', 'muk', 'kemropok', 'tok']","['seng', 'kalah', 'isine', 'muk', 'kemropok', 'tok']",seng kalah isine muk kemropok tok,seng kalah isine muk kemropok tok
@كريسهكريسه,Saya tetap pa ganjar biarpun rendah pilihanku yang cocok jadi presiden,saya tetap apa ganjar biarpun rendah pilihanku yang cocok jadi presiden,"['saya', 'tetap', 'apa', 'ganjar', 'biarpun', 'rendah', 'pilihanku', 'yang', 'cocok', 'jadi', 'presiden']","['ganjar', 'biarpun', 'rendah', 'pilihanku', 'cocok', 'presiden']",ganjar biarpun rendah pilih cocok presiden,Ganjar even though low chooses to match the president
@susanadiah4439,"Wkwkwkwk....udahlah pak Surya.....rakyat mayoritas memilih paslon 02 krn pak Prabowo bersedia melanjutkan program2 dari pak Jokowi, sdgkan Anis tdk mau...sdgkan kubu 01 ketum partainya sombong, dan sodara laki2nya mau meng apa2kan pak Jokowi jika paslon 01 menang...itu garis bsrnya knapa paslon 02 menang...👍👍",wkwkwkwk sudahlah pak surya rakyat mayoritas memilih paslon karena pak prabowo bersedia melanjutkan program2 dari pak jokowi sdgkan anis tidak mau sdgkan kubu ketum partainya sombong dan sodara laki2nya mau meng apa2kan pak jokowi jika paslon menang itu garis bsrnya knapa paslon menang,"['wkwkwkwk', 'sudahlah', 'pak', 'surya', 'rakyat', 'mayoritas', 'memilih', 'paslon', 'karena', 'pak', 'prabowo', 'bersedia', 'melanjutkan', 'program2', 'dari', 'pak', 'jokowi', 'sdgkan', 'anis', 'tidak', 'mau', 'sdgkan', 'kubu', 'ketum', 'partainya', 'sombong', 'dan', 'sodara', 'laki2nya', 'mau', 'meng', 'apa2kan', 'pak', 'jokowi', 'jika', 'paslon', 'menang', 'itu', 'garis', 'bsrnya', 'knapa', 'paslon', 'menang']","['wkwkwkwk', 'surya', 'rakyat', 'mayoritas', 'memilih', 'paslon', 'prabowo', 'bersedia', 'melanjutkan', 'program2', 'jokowi', 'sdgkan', 'anis', 'sdgkan', 'kubu', 'ketum', 'partainya', 'sombong', 'sodara', 'laki2nya', 'meng', 'apa2kan', 'jokowi', 'paslon', 'menang', 'garis', 'bsrnya', 'knapa', 'paslon', 'menang']",wkwkwkwk surya rakyat mayoritas pilih paslon prabowo sedia lanjut program2 jokowi sdgkan anis sdgkan kubu tum partai sombong sodara laki2nya meng apa2kan jokowi paslon menang garis bsrnya knapa paslon menang,"wkwkwkwk Surya People, the majority of choosing Prabowo's candidate pairs are available, the Jokowi programs are there to be anis, the sodara tum is the sodara male party, Jokowi, the Paslon, wins the BSR line, because the candidate pair wins"
@NurJana-e6g,Hitung koikon ngk kaln percaya jd hitung an ap y dbil curang tol kau jawb,hitung koikon tidak kaln percaya jadi hitung an apa ya dbil curang tol kau jawb,"['hitung', 'koikon', 'tidak', 'kaln', 'percaya', 'jadi', 'hitung', 'an', 'apa', 'ya', 'dbil', 'curang', 'tol', 'kau', 'jawb']","['hitung', 'koikon', 'kaln', 'percaya', 'hitung', 'an', 'dbil', 'curang', 'tol', 'kau', 'jawb']",hitung koikon kaln percaya hitung an dbil curang tol kau jawb,Calculate Koikon KALN Believe Calculating a Dbil Cheating Toll You Jawb
@JaroJilem,asalamu Alaikum selamat pagi smg tuhan memberikan jln terbaik buat bp Ganjar Mahpud kami mendoakan smg sukses dr keluarga besar pac pdip kec solear kab Tangerang barat Banten Indonesia 🇮🇩🇮🇩🇮🇩 merdeka merdeka merdeka,asalamu alaikum selamat pagi semoga tuhan memberikan jalan terbaik buat bp ganjar mahpud kami mendoakan semoga sukses dari keluarga besar pac pdip kec solear kab tangerang barat banten indonesia merdeka merdeka merdeka,"['asalamu', 'alaikum', 'selamat', 'pagi', 'semoga', 'tuhan', 'memberikan', 'jalan', 'terbaik', 'buat', 'bp', 'ganjar', 'mahpud', 'kami', 'mendoakan', 'semoga', 'sukses', 'dari', 'keluarga', 'besar', 'pac', 'pdip', 'kec', 'solear', 'kab', 'tangerang', 'barat', 'banten', 'indonesia', 'merdeka', 'merdeka', 'merdeka']","['asalamu', 'alaikum', 'selamat', 'pagi', 'semoga', 'tuhan', 'jalan', 'terbaik', 'bp', 'ganjar', 'mahpud', 'mendoakan', 'semoga', 'sukses', 'keluarga', 'pac', 'pdip', 'kec', 'solear', 'kab', 'tangerang', 'barat', 'banten', 'indonesia', 'merdeka', 'merdeka', 'merdeka']",asalamu alaikum selamat pagi moga tuhan jalan baik bp ganjar mahpud doa moga sukses keluarga pac pdip kec solear kab tangerang barat banten indonesia merdeka merdeka merdeka,"Asalamu alaikum good morning hope God is good at BP Ganjar Mahpud Prayer Moga Successful Pac PDIP family Kec Solear, West Tangerang Regency, Banten Indonesia Merdeka Merdeka Merdeka"
@cindyelvirina9997,Hazrusnya YgNama ya PEMILU itukn PESTA Demo Untuk Rakyat Klo Ada Kata CURANG Itu Memang MIRIS...Jo Jo,hazrusnya ygnama ya pemilu itukn pesta demo untuk rakyat kalau ada kata curang itu memang miris jo jo,"['hazrusnya', 'ygnama', 'ya', 'pemilu', 'itukn', 'pesta', 'demo', 'untuk', 'rakyat', 'kalau', 'ada', 'kata', 'curang', 'itu', 'memang', 'miris', 'jo', 'jo']","['hazrusnya', 'ygnama', 'pemilu', 'itukn', 'pesta', 'demo', 'rakyat', 'curang', 'miris', 'jo', 'jo']",hazrusnya ygnama milu itukn pesta demo rakyat curang miris jo jo,"Hazrus, the name of the Milu, the People's Demo Party Cheating Jo Jo"
@margaritaadelm436,"keputusan ada ditangan Rakyat Indonesia, Rakyat sdh memilih pemimpin yg terbaik yg cinta rakyat nya paslon no. 02 pilihan rakyat Indonesia.",keputusan ada ditangan rakyat indonesia rakyat sudah memilih pemimpin yang terbaik yang cinta rakyat ya paslon no pilihan rakyat indonesia,"['keputusan', 'ada', 'ditangan', 'rakyat', 'indonesia', 'rakyat', 'sudah', 'memilih', 'pemimpin', 'yang', 'terbaik', 'yang', 'cinta', 'rakyat', 'ya', 'paslon', 'no', 'pilihan', 'rakyat', 'indonesia']","['keputusan', 'ditangan', 'rakyat', 'indonesia', 'rakyat', 'memilih', 'pemimpin', 'terbaik', 'cinta', 'rakyat', 'paslon', 'no', 'pilihan', 'rakyat', 'indonesia']",putus tang rakyat indonesia rakyat pilih pimpin baik cinta rakyat paslon no pilih rakyat indonesia,Disconnect Indonesian People People Choose to Lead Good Love Paslon No Choose the Indonesian People
@mariorumfabe5783,"Mantap mba putri , gaya bicaranya mba lgsung mengena ke jubir yg lain. <br>Andalan sekali . Aku coblos no 2 dan aku yakin BPK ku Prabowo akan menang",mantap mbak putri gaya bicaranya mbak langsung mengena ke jubir yang lain andalan sekali aku coblos no dan aku yakin bpk ku prabowo akan menang,"['mantap', 'mbak', 'putri', 'gaya', 'bicaranya', 'mbak', 'langsung', 'mengena', 'ke', 'jubir', 'yang', 'lain', 'andalan', 'sekali', 'aku', 'coblos', 'no', 'dan', 'aku', 'yakin', 'bpk', 'ku', 'prabowo', 'akan', 'menang']","['mantap', 'mbak', 'putri', 'gaya', 'bicaranya', 'mbak', 'langsung', 'mengena', 'jubir', 'andalan', 'coblos', 'no', 'bpk', 'ku', 'prabowo', 'menang']",mantap mbak putri gaya bicara mbak langsung kena jubir andal coblos no bpk ku prabowo menang,"great mbak daughter's speech style, sister immediately got a reliable spokesman for the bpk ku prabowo to win"
@muhamadsuhud1732,"Memang luar biasa pak Prabowo, di hina di hujat.. low profile.. pak Prabowo jiwa patriotik seorang Prajurit masih kental.. Semoga dgn kemenangan ini Pak Prabowo semakin percaya diri untuk mewujudkan Indonesia lebih baik.. 💪💪💪💪💪🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩",memang luar biasa pak prabowo di hina di hujat low profile pak prabowo jiwa patriotik seorang prajurit masih kental semoga dengan kemenangan ini pak prabowo semakin percaya diri untuk mewujudkan indonesia lebih baik,"['memang', 'luar', 'biasa', 'pak', 'prabowo', 'di', 'hina', 'di', 'hujat', 'low', 'profile', 'pak', 'prabowo', 'jiwa', 'patriotik', 'seorang', 'prajurit', 'masih', 'kental', 'semoga', 'dengan', 'kemenangan', 'ini', 'pak', 'prabowo', 'semakin', 'percaya', 'diri', 'untuk', 'mewujudkan', 'indonesia', 'lebih', 'baik']","['prabowo', 'hina', 'hujat', 'low', 'profile', 'prabowo', 'jiwa', 'patriotik', 'prajurit', 'kental', 'semoga', 'kemenangan', 'prabowo', 'percaya', 'mewujudkan', 'indonesia']",prabowo hina hujat low profile prabowo jiwa patriotik prajurit kental moga menang prabowo percaya wujud indonesia,Prabowo Hijat Low Profile Prabowo Patriotic Soul The thick soldier Moga wins Prabowo believes in Indonesia
@harji595,Jangan nunggu keputusan<br>Kpu salah diputus tidak di<br>Cabot cumaseng mutus di<br>Sangsi tok dak punyamalu,jangan menunggu keputusankpu salah diputus tidak dicabot cumaseng mutus disangsi tok indak punyamalu,"['jangan', 'menunggu', 'keputusankpu', 'salah', 'diputus', 'tidak', 'dicabot', 'cumaseng', 'mutus', 'disangsi', 'tok', 'indak', 'punyamalu']","['menunggu', 'keputusankpu', 'salah', 'diputus', 'dicabot', 'cumaseng', 'mutus', 'disangsi', 'tok', 'indak', 'punyamalu']",tunggu keputusankpu salah putus dicabot cumaseng mutus sangsi tok indak punyamalu,waiting for the wrong decision to drop just feel the mutus of doubtful tok not punyalu
@MandaBakari,Ha,ha,['ha'],['ha'],ha,ha
@irvanhidayat705,Sakin cepatnya data yg salah blm diperbaiki,sakin cepatnya data yang salah belum diperbaiki,"['sakin', 'cepatnya', 'data', 'yang', 'salah', 'belum', 'diperbaiki']","['sakin', 'cepatnya', 'data', 'salah', 'diperbaiki']",sakin cepat data salah baik,Sakin Fast Data Wrong Good
@komaraningsih8379,Kembalikan ke rakyat. Klo rakyat mencintai pemimpin nya. Ya harus menerima kekalahan 01-03. Gak usah cari kesalahan orang lain.,kembalikan ke rakyat kalau rakyat mencintai pemimpin ya ya harus menerima kekalahan tidak usah cari kesalahan orang lain,"['kembalikan', 'ke', 'rakyat', 'kalau', 'rakyat', 'mencintai', 'pemimpin', 'ya', 'ya', 'harus', 'menerima', 'kekalahan', 'tidak', 'usah', 'cari', 'kesalahan', 'orang', 'lain']","['kembalikan', 'rakyat', 'rakyat', 'mencintai', 'pemimpin', 'menerima', 'kekalahan', 'cari', 'kesalahan', 'orang']",kembali rakyat rakyat cinta pimpin terima kalah cari salah orang,"back the people of the people of love, lead to the loss to find the wrong person"
@yuliawijaya1375,Nomer 1 dan tiga mesti nya lego dong kalo orang kalah selalu bilang curang  dan selalu bilang oftimis udag jelas 02 yg menang dan yg pantas jadi persiden 2024..1dan 3 mudurrr lah,nomer dan tiga mesti ya lego dong kalau orang kalah selalu bilang curang dan selalu bilang oftimis udag jelas yang menang dan yang pantas jadi persiden 1dan mudurrr lah,"['nomer', 'dan', 'tiga', 'mesti', 'ya', 'lego', 'dong', 'kalau', 'orang', 'kalah', 'selalu', 'bilang', 'curang', 'dan', 'selalu', 'bilang', 'oftimis', 'udag', 'jelas', 'yang', 'menang', 'dan', 'yang', 'pantas', 'jadi', 'persiden', '1dan', 'mudurrr', 'lah']","['nomer', 'mesti', 'lego', 'orang', 'kalah', 'bilang', 'curang', 'bilang', 'oftimis', 'udag', 'menang', 'persiden', '1dan', 'mudurrr']",nomer mesti lego orang kalah bilang curang bilang oftimis udag menang persiden 1dan mudurrr,The number must be lego people losing says cheating says of udag wins Persiden 1 and mudurrr
@YadiMel-q1z,Hadeeh drama tipu tipu  😁😁<br>Apa kalian  kira ini 2019.. dulu kecurangan bisa di negosiasi.. klw sekarang Sorry Yee.  Satu kata LAWAN 💪💪,hadeeh drama tipu tipu apa kalian kira ini dulu kecurangan bisa di negosiasi kalau sekarang sorry ya satu kata lawan,"['hadeeh', 'drama', 'tipu', 'tipu', 'apa', 'kalian', 'kira', 'ini', 'dulu', 'kecurangan', 'bisa', 'di', 'negosiasi', 'kalau', 'sekarang', 'sorry', 'ya', 'satu', 'kata', 'lawan']","['hadeeh', 'drama', 'tipu', 'tipu', 'kecurangan', 'negosiasi', 'sorry', 'lawan']",hadeeh drama tipu tipu curang negosiasi sorry lawan,Hadeeh Drama Deception Cheating Sorry Opposite
@ndinry2346,Rakyat melihat rakyat fintr rakyat cerdas  rakyat tdk buta  rakyat  jeli mna yg baik mna yg tdk shrsnya sadr  bu mega  frsiden filihan rakyat  itu bukn bu mega tfi di tukuanoleh rakyat kmbali lg untuk rakyat  kfda frabowo gibran   udahlah bu mega jgn lg mnhina faslon 2 afa gk caaafeeee gitu udhlahhhhhhh  berhenti bu mega &amp; fegamat&quot;&quot; nya yg krjanya  ribut mulu seolah fartay yg sgt elit trnyata sgt felik &amp; licik sebtulnya semua fartay sama tdk sfrti fartay bu mega  so elit  fdhal biasa&quot; ajah sfrtinyawoow gitu gk ?,rakyat melihat rakyat fintr rakyat cerdas rakyat tidak buta rakyat jeli mana yang baik mana yang tidak shrsnya sadr bu mega frsiden filihan rakyat itu bukan bu mega tfi di tukuanoleh rakyat kembali lagi untuk rakyat kfda frabowo gibran sudahlah bu mega jangan lagi mnhina faslon afa tidak caaafeeee begitu udhlahhhhhhh berhenti bu mega fegamat ya yang krjanya ribut mulu seolah fartay yang sangat elit ternyata sangat felik licik sebtulnya semua fartay sama tidak sfrti fartay bu mega sok elit fdhal biasa saja sfrtinyawoow begitu tidak,"['rakyat', 'melihat', 'rakyat', 'fintr', 'rakyat', 'cerdas', 'rakyat', 'tidak', 'buta', 'rakyat', 'jeli', 'mana', 'yang', 'baik', 'mana', 'yang', 'tidak', 'shrsnya', 'sadr', 'bu', 'mega', 'frsiden', 'filihan', 'rakyat', 'itu', 'bukan', 'bu', 'mega', 'tfi', 'di', 'tukuanoleh', 'rakyat', 'kembali', 'lagi', 'untuk', 'rakyat', 'kfda', 'frabowo', 'gibran', 'sudahlah', 'bu', 'mega', 'jangan', 'lagi', 'mnhina', 'faslon', 'afa', 'tidak', 'caaafeeee', 'begitu', 'udhlahhhhhhh', 'berhenti', 'bu', 'mega', 'fegamat', 'ya', 'yang', 'krjanya', 'ribut', 'mulu', 'seolah', 'fartay', 'yang', 'sangat', 'elit', 'ternyata', 'sangat', 'felik', 'licik', 'sebtulnya', 'semua', 'fartay', 'sama', 'tidak', 'sfrti', 'fartay', 'bu', 'mega', 'sok', 'elit', 'fdhal', 'biasa', 'saja', 'sfrtinyawoow', 'begitu', 'tidak']","['rakyat', 'rakyat', 'fintr', 'rakyat', 'cerdas', 'rakyat', 'buta', 'rakyat', 'jeli', 'shrsnya', 'sadr', 'bu', 'mega', 'frsiden', 'filihan', 'rakyat', 'bu', 'mega', 'tfi', 'tukuanoleh', 'rakyat', 'rakyat', 'kfda', 'frabowo', 'gibran', 'bu', 'mega', 'mnhina', 'faslon', 'afa', 'caaafeeee', 'udhlahhhhhhh', 'berhenti', 'bu', 'mega', 'fegamat', 'krjanya', 'ribut', 'mulu', 'fartay', 'elit', 'felik', 'licik', 'sebtulnya', 'fartay', 'sfrti', 'fartay', 'bu', 'mega', 'sok', 'elit', 'fdhal', 'sfrtinyawoow']",rakyat rakyat fintr rakyat cerdas rakyat buta rakyat jeli shrsnya sadr bu mega frsiden filihan rakyat bu mega tfi tukuanoleh rakyat rakyat kfda frabowo gibran bu mega mnhina faslon afa caaafeeee udhlahhhhhhh henti bu mega fegamat krjanya ribut mulu fartay elit felik licik sebtulnya fartay sfrti fartay bu mega sok elit fdhal sfrtinyawoow,"The people of the people of the people of the people are intelligent, the people are blind, the jelly people are sadr bu mega friden fiden folkan folk mega tfi tuan by the people of the people of kfda frabowo gibran bu mega mnhina faslon afa caaafeeee udhlahhhhhh is stop mega mega fegamat. Elite FDHAL SFRISANWOOW"
@AbdiAbrar-np5em,"Hahahaaa ngeri sekali tipu tipunya 02 dilapangan sepi,disurvey tertinngi😂😂😂",hahahaaa ngeri sekali tipu tipunya dilapangan sepidisurvey tertinngi,"['hahahaaa', 'ngeri', 'sekali', 'tipu', 'tipunya', 'dilapangan', 'sepidisurvey', 'tertinngi']","['hahahaaa', 'ngeri', 'tipu', 'tipunya', 'dilapangan', 'sepidisurvey', 'tertinngi']",hahahaaa ngeri tipu tipu lapang sepidisurvey tertinngi,hahahaaa horrified the deception of the department
@lemikurniati3353,PEMILU 2024 di indonesia paling parah sek dunia,pemilu di indonesia paling parah sek dunia,"['pemilu', 'di', 'indonesia', 'paling', 'parah', 'sek', 'dunia']","['pemilu', 'indonesia', 'parah', 'sek', 'dunia']",milu indonesia parah sek dunia,MILU INDONESIA SEVELLY WORLD
@ndinry2346,Heeeloooo udhlah gk frlu bnyak futanan kl trlalu bnyak futaran mah nnti   tujuh keliling  sfrti faslon 3 skrg cawafresnya lg kalng kabut akibat trlalu  sonbong tdk d jaga  dgn cara bicaranya trlalu bnyak gobal,heeeloooo udhlah tidak frlu banyak futanan kalau terlalu banyak futaran mah nanti tujuh keliling sfrti faslon sekarang cawafresnya lagi kalng kabut akibat terlalu sonbong tidak di jaga dengan cara bicaranya terlalu banyak gobal,"['heeeloooo', 'udhlah', 'tidak', 'frlu', 'banyak', 'futanan', 'kalau', 'terlalu', 'banyak', 'futaran', 'mah', 'nanti', 'tujuh', 'keliling', 'sfrti', 'faslon', 'sekarang', 'cawafresnya', 'lagi', 'kalng', 'kabut', 'akibat', 'terlalu', 'sonbong', 'tidak', 'di', 'jaga', 'dengan', 'cara', 'bicaranya', 'terlalu', 'banyak', 'gobal']","['heeeloooo', 'udhlah', 'frlu', 'futanan', 'futaran', 'mah', 'tujuh', 'keliling', 'sfrti', 'faslon', 'cawafresnya', 'kalng', 'kabut', 'akibat', 'sonbong', 'jaga', 'bicaranya', 'gobal']",heeeloooo udhlah frlu futanan futaran mah tujuh keliling sfrti faslon cawafresnya kalng kabut akibat sonbong jaga bicara gobal,"Heeeloooo has been fruan Funaran Futaran Mah Seven around Sfrti Faslon Cawafres, because of Sonbong, guarding Gobal Speaking"
@wirmayesi1372,Kecuranga terjadi lagi seperti THN 2019 ...,kecuranga terjadi lagi seperti tahun,"['kecuranga', 'terjadi', 'lagi', 'seperti', 'tahun']",['kecuranga'],kecuranga,Chaos
@kangjumpalibas1396,PDI-P itu penjajah. Jd jgn cerita lu sok bersih.. Tanpa PDI-P negara Indonesia akn makmur. Banteng harus di musnakn,pdip itu penjajah jadi jangan cerita kamu sok bersih tanpa pdip negara indonesia akan makmur banteng harus di musnakn,"['pdip', 'itu', 'penjajah', 'jadi', 'jangan', 'cerita', 'kamu', 'sok', 'bersih', 'tanpa', 'pdip', 'negara', 'indonesia', 'akan', 'makmur', 'banteng', 'harus', 'di', 'musnakn']","['pdip', 'penjajah', 'cerita', 'sok', 'bersih', 'pdip', 'negara', 'indonesia', 'makmur', 'banteng', 'musnakn']",pdip jajah cerita sok bersih pdip negara indonesia makmur banteng musnakn,PDIP Jajah Story Clean Story PDIP State Indonesian Makmur Banteng Musnakn
