Username,Comment,Stemming,Translated,Sentiment_polarity,Sentiment
@SuryantoYanto-l1k,Mahasiswa bukan capres bukan juga partai tapi  organisasi  bayaran,mahasiswa capres partai organisasi bayar,student presidential candidates for the organization,0.0,neutral
@syaisyahint1711,ganteng amat bapak Ketuanya,ganteng ketua,Handsome Chairman,0.5,positive
@SitiMagfiroh-rh5fd,Ngelawak kemarin tgl 14 itu masih banyak yg  blm selesai 😂,lawak kemarin tanggal selesai,yesterday's comedy date finished,0.0,neutral
@OnlyU-ln3mn,Kata Mahfud MD yg kalah akan bilang curang😅😅<br>Intinya itu kalo kalah ya terima ajah dengan hati yang pahit🤭🤣🤣🤣🤣,mahfud md kalah bilang curangintinya kalah terima hati pahit,Mahfud MD Lose said his cheating lose to accept the bitter heart,-0.1,negative
@Chaneltv-h8z,Yang kalah pasti teriak,kalah teriak,lose screaming,0.0,neutral
@Chaneltv-h8z,Wes sing kalah. Y terima. Jngan kebnyakn alasan,wes sing kalah terima kebnyakn alas,wes sing lost to accept the alas,-0.4,negative
@agungsatria8489,"Selamat untuk pak Prabowo dan pak Gibran,",selamat prabowo gibran,Congratulations Prabowo Gibran,0.0,neutral
@endangkuswara7477,Mana hitung resmi KPU.?yang murni bukan hasil curang .belum resmi kan?,hitung resmi kpu murni hasil curang resmi,Calculate the official KPU purely the official cheating results,0.21428571428571427,positive
@ronaldaritonang4014,"Rasanya puas dan bangga dng kemenangan pak Prabowo dan    Gibran,sakit dan sedih dng penghinaan yg di berikan pada pak Jokowi dan pak Prabowo,ttpi semuanya itu telah terobati dng kemenangan 02 .selamat buat paslon 02❤❤❤",puas bangga menang prabowo gibransakit sedih hina jokowi prabowottpi obat menang selamat paslon,satisfied proud to win Prabowo Gibransakit Sad Hina Jokowi Prabowottpi Drugs Wins Congratulations Paslon,0.38,positive
@RifaiFai-g9s,"khusus Jawa Tengah problem yang dampaknya ke pilpres, masalah kartu tani ,katanya d batasi dan susah nyari pupuk ,apa nanti 02  bisa bebaskan masalah tani . kalau gk bisa percuma  menjelekkan asal usul  kartu tani.",khusus jawa problem dampak pilpres kartu tani batas susah cari pupuk bebas tani jelek usul kartu tani,Specifically Java Problem Impact of Farmers Card Pilpres Limits Difficult to Find Free Farmer Farmers Proposal Farmers Card,-0.04999999999999999,negative
@syamsinar5327,Dan keluarga kami tidak pernah mendapatkan bantuan atau bansos jenis apapun,keluarga bantu bansos jenis apa,what type of social assistance family,0.03333333333333333,positive
@syamsinar5327,Aceh Tamiang adem ayem tanpa intimidasi dari manapun,aceh tamiang adem ayem intimidasi mana,Aceh Tamiang Adem Ayem Intimidation,0.0,neutral
@ismuanto5401,Pak Ganjar dapat... dapat malu..perolehan paling banyak dari belakang,ganjar malu oleh,Ganjar was embarrassed by,0.0,neutral
@syamsinar5327,Kami sebagai rakyat pilihan kami reel tanpa iming-iming ataupun jabatan atau partai&#39;tapi menurut saya Prabowo Gibran pilihanku,rakyat pilih reel imingiming jabat partaitapi prabowo gibran pilih,The people choose the reel Immingiming Jabat Partaitapi Prabowo Gibran Choose,0.0,neutral
@hendykelingdimakandenganna1273,Siapapun President Nya..Tolong Turunin Harga Beras...   Suara Rakyat KeciL .,president tolong turunin harga beras suara rakyat,president please go down the price of the people's voice rice,-0.15555555555555559,negative
@wijaybayangkara2542,Kok gw terharu ya pak Prabowo menang,gue haru prabowo menang,I Haru Prabowo Win,0.8,positive
@ariskaamilia9463,Senangnya mencari kesalahan orng<br>G,senang cari salah orngg,happy to find the wrong person,0.15000000000000002,positive
@ajudanleon.,Intuk di ketahui bahwa ada calon petugas partai dan ada yg tidak,intuk tahu calon tugas partai,Intuk Knowing the Party Task Candidates,0.0,neutral
@lianceronsumbre6524,Yg  buruk banyak  cari. Tulang dlm. Telu,buruk cari tulang telu,Bad looking for telu bones,-0.6999999999999998,negative
@DeskiRahmatAlfiansyah,"Yg gw suka sma pk Prabowo meskipun gagal tetep terus mencoba,sama seperti kehidupan kegagalan awal dri keberhasilan",gue suka pakai prabowo gagal mencobasama hidup gagal hasil,I like to use Prabowo failed to try life failed results,-0.5,negative
@saprawirawi2989,Ya Allah kalau di madura raas sekecamatan Anis Baswedan pemenang nya,allah madura raas camat anis baswedan menang,Allah Madura Raas Camat Anis Baswedan Wins,0.3,positive
@agenvip1,Kalah mah kalah aja...dikit2 bilang curang kimak emang,kalah mah kalah dikit2 bilang curang kimak,losing mah losing a little saying cheating kimak,-0.1875,negative
@doniaja5260,jangan terlalu banyak bacot saya tidak pernah menerima bantuan itu,bacot terima bantu,Bacot accept help,0.0,neutral
@murniatiwinarto-ts7mw,Pragib mnrt perkiraan saya tembus 62% faktornya cinta Pragib n cinta Jokowi...BKN krna bansos yg sprti Luhut katakan,pragib mnrt kira tembus faktor cinta pragib n cinta jokowi bansos luhut,Pragib is about to get through the love factor of Pragib and Cinta Jokowi Social Affairs Luhut,0.26666666666666666,positive
@abahagi6599,Hitung cepat booohong ingat 2019 yang menang Prabowo yang jadi genderewo....miikiir,hitung cepat booohong menang prabowo genderewo miikiir,Fast Calculate Booauh Winning Prabowo Genderewo Miikiir,0.35,positive
@JhokyJohari,Pesan q pribadi sebagai rakyat biasa BERPESAN pada semua org yg menyertai kampaya!!! JANGAN PERNAH MEYOMBONGKAN DIRI DAN MERASA DIRI TERPOPULER.ingatlah kesombong itu awal Dari ke hancuran. Ingat sdh pandai tau  mana baik dan mana buruk.,pesan ku pribadi rakyat pesan orang serta kampaya meyombongkan populer ingat sombong hancur pandai tau buruk,"my personal message people's messages of people and campaigns to be popular, remember arrogantly, broken to be clever to know bad",-0.06666666666666665,negative
@muhammadyusufrasyid7405,Pak prabowo selamat  👍👍👍👍👍👍👍km pilihan saya dari dulu,prabowo selamat pilih,Prabowo Congratulations Choose,0.0,neutral
@alinurdjalisia3705,ini data kurang falid kok bisa di siarkan ia ?<br>c1 aja belum di udded data.,data falid siar c1 udded data,The black fold sar 1,-0.16666666666666666,negative
@tedi25344,Buat tim pemenangan 01 03 udh lah anda sadar anda berbesar hati toh yg memilih pemimpin negara indonesiai itu rakyat bung dan jangan anda paksakan kehendak hanya golongan golongan yg hadooh opo yooo selamat buat Prabowo dan Gibran semangat dan berjuang untuk rakyat indonesia bukan gengsi partai ❤,tim menang sadar besar hati pilih pimpin negara indonesia rakyat paksa hendak golong golong hadooh opo yooo selamat prabowo gibran semangat juang rakyat indonesia gengsi partai,The team wins aware of the hearts of choosing the Indonesian State Lead for the People forced to Golong Golong Hadooh Opo Yooo Congratulations Prabowo Gibran Gibran the Fighting of the Indonesian People's Gengsi,0.08333333333333333,positive
@robbyrobby6653,"Tdk terbantahkan kalo masyarakat memang suka pak Prabowo/Gibran😁🙏🙏🙏karena efek hinaan,caci,cemooh,dn sering merendahkan,,dn suara ke angkuhan......itu jawaban a ...pak.....🙏masyarakat suka....Prabowo kok dn Gibran ko.....aplgi yg di permasalahkan ....",bantah masyarakat suka prabowogibrankarena efek hinaancacicemoohdn merendahkandn suara angkuh a masyarakat suka prabowo gibran aplgi masalah,Denies the community likes Prabowogibrank because the effects of the insulting cacicicoohdn are lowest,-1.0,negative
@robbyrobby6653,Itu jawaban a😁🙏karena ke angkuhan/kesombongan ketua umum PDIP....ini memang adil...pasangan 02 Riel pilihan masyarakat ....🙏,akarena angkuhankesombongan ketua pdip adil pasang riel pilih masyarakat,AKARENA AKMANKESSAGE Chairperson of PDIP Adil Put Riel Select the Community,0.0,neutral
@robbyrobby6653,"Maaf,mau jawaban a..pak😁masyarakat kecewa dgn  ketua umum PDIP yg menghina,merendahkan,tukang bakso,dll🙏",maafmau a pakmasyarakat kecewa ketua pdip menghinamerendahkantukang baksodll,"Sorry, the community is disappointed that the PDIP chairman will inside the Low -Baksodll.",-0.4166666666666667,negative
@AugustoVicenteSoares-ji9lh,Congratulation bapak Prabowo Subianto legendaris pejuan.<br><br>Salam dari Timor Leste 🇹🇱🇹🇱🇹🇱🇹🇱,congratulation prabowo subianto legendaris juan salam timor leste,Congratulation Prabowo Subianto Legendary Juan Salam Timor Leste,1.0,positive
@rustamselan6907,"TAK USAH MEMBUAT BERITA RAJUS PESAWAT, JAGUNG DEMI ASAM SULFAT MENJAJAH RAKYAT,,,<br>TAK ADA JAMINAN,,,<br>LEBAGA SURVEY RAKUS PESANAN,,,, TANPA JAMINAN😂😂😂😂😂😂😂😂😂",berita rajus pesawat jagung asam sulfat jajah rakyattak jaminanlebaga survey rakus pesan jamin,Rajus News Sulfuric acid corn plane jajah Rakyatak guaranteed that the Survey Survey was greedy,0.0,neutral
@ErwinPranajaya-fd2bp,Kita harus legowo bro. Jangan sdh mepet kalah bela diri.,legowo bro mepet kalah bela,Legowo Bro is so defeated,0.0,neutral
@SupriyadiMase,"Dah dari jmn purba,yg kalah g percaya hitung cepat jg banyak kecurangan,tp hanya 0,0001% kesalahan..",jmn purbayg kalah percaya hitung cepat kecurangantp salah,JMN Purbayg Loses Believe in Calculating Fast Fragmets,-0.04999999999999999,negative
@ArieBaraya,apakah jokowi sdh bukan lg kader PDIP...,jokowi kader pdip,Jokowi PDIP cadre,0.0,neutral
@sutardjotarjo9684,"Semua ada masanya, skrng masanya prabowo berkuasa apa bisa menyejahterakan rakyat?",masa masa prabowo kuasa sejahtera rakyat,Prabowo time of the Power of Peace of the People,0.0,neutral
@bagustrycahyo6270,Bersama gama siap tronjal tronjolkan Indonesia🤟,gama tronjal tronjolkan indonesia,Gama Tronjal Triggers Indonesia,0.0,neutral
@HaqiqiKembar,Saya malu liat paslon yg kalah. Slalu mereka suka cari cari letak aib kejelekan org lain. Andai saja mereka kelak mencalonkan lagi jd presedin. Lebih baik mati kelaparan dr pada memilih org kayak gtu,malu lihat paslon kalah suka cari cari letak aib jelek orang andai kelak calon presedin mati lapar pilih orang kayak,Embarrassed seeing the paslon loss like looking for the location of the ugly disgrace of people,-0.7,negative
@HaqiqiKembar,Siap siap paslon yg kalah memasuki rs jiwa😭😭😭😭,paslon kalah pasuk rs jiwa,Paslon Lose Pasuk Hospital Hospital,0.0,neutral
@lebahratu2240,Hanya Aceh dan Padang yg menang AMIN.......maka Aceh dan padang tak ikut berpresiden 02......😂😂😂 Naseeb.....naseeeb.,aceh padang menang amin aceh padang presiden naseeb naseeeb,Aceh Padang won Amin Aceh Padang President Naseeb Naseeeb,0.0,neutral
@asshifaputri3536,Terima kasih KPU atas kerja kerasnya dalam pilpres tahun ini ❤❤❤❤ semoga selalu amanah karena setiap amanat yg kau emban akan dipertanggung jawabkan di akhirat kelak.,terima kasih kpu kerja keras pilpres moga amanah amanat kau emban tanggung jawab akhirat kelak,"Thank you KPU hard work of the presidential election, hopefully the mandate of you will embrace the responsibility of the hereafter",-0.2916666666666667,negative
@JhonKanigawa,Bapak jangggat kalah 😮😅😊😅😅,jangggat kalah,Instead of losing,0.0,neutral
@atilapashadinatathelaundry6252,Semenjak ono jadi presiden pemilihan umum jadj ricuh,semenjak sono presiden pilih jadj ricuh,Since Sono President Choose Jadj Ricuh,0.0,neutral
@wong_bejo,kesatria sejati bila kalah harus lapang dada legowo,kesatria sejati kalah lapang dada legowo,True Kesatria Losses Long Field Legowo,0.15,positive
@MustofaGelo-im2qd,"yg pntg syp pun pemingin kita nanti pasti itu takdir dari allah ta&#39;ala yg terpenting bagi kita rakyat indonesia itu semua programnya bisa berjalan lancar, amanah merakyat pokoknya sembako murah lapangn pekerjaan bnyk dan aman... Aamiiin ya allah..",pntg pemingin takdir allah taala penting rakyat indonesia program jalan lancar amanah rakyat pokok sembako murah lapangn kerja aman amin allah,The destiny of Allah's destiny is important to the people of Indonesia,0.4,positive
@donipunakawan1073,Menang Tapi Curang  #🇮🇩Menangis,menang curang menang,Winning cheating,0.5,positive
@nyomansupartha2089,Ke 3 Paslon sama sama pernah menduduki pucuk pimpinan di masing masing posisi nya dan hanya pak Prabowo yg bisa membuktikan kinerja nya sehingga Paslon Prabowo Gibran yg SDH membuktikan kinerja nya dan dipercaya rakyat Indonesia untuk memimpin negara NKRI,paslon duduk pucuk pimpin posisi prabowo bukti kerja paslon prabowo gibran bukti kerja percaya rakyat indonesia pimpin negara nkri,Paslon sat down to lead Prabowo's position proof of Prabowo Prabowo Gibran's Work Proof,-0.15555555555555559,negative
@arlisujang9707,pemilu itu akan dikatakan adil kalau calonnya jadi pemenang....kalau kalah dia akan mengatakan banyak kecurangan.....😭😭😭 legowo itu omong kosong,milu adil calon menang kalah curang legowo omong kosong,MILU FAIR candidates Winning Lose Cheating Legowo Bullshit,0.6,positive
@muhammadalirachmatullah,"ketua KPU nya berganti orang, aplikasinya berganti nama, tapi modus kecurangannya setiap pemilu tetap sama, yaitu &quot;PENGGELEMBUNGAN SUARA&quot; besar-besaran untuk kemenangan kubu penguasa",ketua kpu ganti orang aplikasi ganti nama modus curang milu gelembung suara besarbesaran menang kubu kuasa,KPU Chair Change People Applications Change Mode Modus Miles Milu Bubble Bubbles Great Voice Winning Power of Attorney,0.65,positive
@Jemidi-q2n,"Alhamdulillah pasangan prabowo gibran jadi presiden 2024, 2029, semoga mereka amanah Amin🤲🤲🤲",alhamdulillah pasang prabowo gibran presiden moga amanah amin,"Alhamdulillah, pairs of Prabowo Gibran President Moga Aminah Amin",0.0,neutral
@cindyelvirina9997,Saya Dh Yakin No.2pati Pemenangnya n Pak Prabowo Jadi???Jo Jo,dah no 2pati menang n prabowo jadijo jo,Dah number 2Pati won and Prabowo Sojo Jo,0.0,neutral
@JhonFauzan-sw9wt,"Yg kalah sabar legowo,kita satu indonesia juga ko,pragib sdh mnang,brarti mreka lah yg dibutuhkan indonesia,salam ✌️😅😢",kalah sabar legowokita indonesia kopragib mnangbrarti butuh indonesiasalam,Lose Patience Legowokita Indonesia Kopragib Mnangbrarti Need Indonesia,0.0,neutral
@ismailnewacc3408,Cak lontong pateni ae mulute boso,cak lontong paten mulute boso,cak lontong patent mouth boso,0.0,neutral
@Solihin552,Kenapa sih setiap yg kalah pasti bilang kecurangan... Giliran menang jujur dan adil.... Mendingan diam.... Ajs bang rakyat cape dengatnya..,sih kalah bilang curang gilir menang jujur adil mending diam ajs abang rakyat capek dengatnya,"I lost to say that cheating won honestly, fair better",0.6,positive
@MunirAsmunir-v7o,Lembaga surpe tdk keputusa final seharunya yg dibertakan 56 jadi 500 suara di tps o4 p lembu kec airjoman,lembaga surpe keputusa final haru tak suara tps o4 p lembu kec airjoman,Surpe Institute of Surpe Keputusa Final Haru No TPS O4 P,0.0,neutral
@tugimintugimin1531,Rayat itu sudah pada pitar bos,rayat pitar bos,Rayat pitar bos,0.0,neutral
@rahmiaee,"Intinya rakyat da tau,,no urut 3, kampanye nya slalu mngina dan mnghina,,maka rakyat tau,,mna yg baik dan yg serakah,,tu ada urut 3,,",inti rakyat dah tauno urut kampanye mngina mnghinamaka rakyat taumna serakahtu urut,the core of the people has been in order to the campaign of the preacher of the people of the people,0.0,neutral
@DAPUR_MAMIKO,"Ini bukan masalah menang kalah ,tp demokrasi.Jika terbukti ada kecurangan maka rusaklah demokrasi.",menang kalah demokrasi bukti curang rusak demokrasi,win losing democracy the evidence of cheating is damaged by democracy,0.8,positive
@rukhitegal14,Itulah jeleknya..semua calon berniat baik untuk rakyat Indonesia..tp yg menodai tim&quot; sukses nya yg menjelek jelekan lawannya..saya pilih 02 tp saya cukup diam..tidak mau menjelek jelekan yg lain..krna klw pemilu sudah selesai pasti akan kembali seperti semula.ngopi&quot; bareng,jelek calon niat rakyat indonesia noda tim sukses jelek jelek lawan pilih diam jelek jelek milu selesai ngopi bareng,ugly prospective Indonesian people's intention stains of the ugly ugly success team,-0.4499999999999999,negative
@PartoNdegos,Seandai gak terima ya lucu ta kalahnya 01.03 jauh banget lo % nya disitu harus nyadar to .dari debat udah bisa dibaca .,anda terima lucu ta kalah banget lo situ sadar debat baca,"You accept funny, you're losing, you are aware of the debate reading",0.25,positive
@atakoswara5615,"Paslon 01 dan paslon 03  kerja sama - sebelum hari H 14 Pebruari - Paslon 02 dihujat , dighibah dihinakan - sekarang sudah ada hasilnya masih terus kalian hujat , kalian ghibah - selamat menjalankan tugas Bapak Prabowo dan Mas Gibran pilihan rakyat , bukan pilihan orang orang elite ahli  ghibah - semoga Tuhan senantiasa memberi pertolongan aamiin",paslon paslon kerja h pebruari paslon hujat dighibah hina hasil hujat ghibah selamat jalan tugas prabowo mas gibran pilih rakyat pilih orang orang elite ahli ghibah moga tuhan senantiasa tolong amin,Paslon Panlon Working Panlon H February Paslon Hujat Diggedi Hijat Results Ghibah Good luck Prabowo Mas Gibran Choose the people Choose Elite people Ghibah Expert Moga God always help AMIN,0.7,positive
@khairulrahman6279,Pasti ada yang enggak beres ini..semua TPS di daerah saya anies yang menang,beres tps daerah anies menang,Anies regional TPS wins wins,0.3,positive
@sienarahma2584,Barang siapa yg meng halalkan yg haram itu azab nya gak ketulungan. Dari allaah.sudah disiap pintu neraka,barang meng halal haram azab ketulungan allaah siap pintu neraka,Halam Meng Halam Items Allaah Ketulungan Ready to Hell Door,0.2,positive
@atakoswara5615,Kami rakyat yang memilih Paslon 02 Bapak Prabowo dan Mas Gibran - disetiap  TPS dihitung didepan saksi-saksi dan masyarakat sekitar - silahkan Paslon yang kalah hitung kembali disetiap TPS supaya puas - Salam sejahtera bagi seluruh masyarakat Indonesia menuju Indonesia Maju.,rakyat pilih paslon prabowo mas gibran tiap tps hitung depan saksisaksi masyarakat sila paslon kalah hitung tiap tps puas salam sejahtera masyarakat indonesia indonesia maju,The people choose Prabowo Mas Gibran candidate pair each TPS Counting in front of the Sac with the Sakakan Sila Paslon Lose Calculating Each TPS Satisfied Salam Welfare of the Indonesian Indonesian Community Advanced,0.45,positive
@ChoironWasian-fl4hp,Saya gak yakin sungguh mencurigakan ...,sungguh curiga,Really suspicious,0.2,positive
@HariSaja-tx4ns,Ganjar...😊😢,ganjar,Ganjar,0.0,neutral
@yatnoyatno1292,Menang sopo wae yo teko presidene sing penggawene mancul yo tetep macul sing buruh tetep buruh. Persatuan&amp; kesatuan yg penting,menang sopo wae teko presidene sing penggawene mancul macul sing buruh buruh satu satu,"winning sopo justice who was not his servant macul, one worker worker.",0.5,positive
@NandaDea24,Prabowo kaki nya pincang lari bertiga kedepan deluan kartun editan begitu juga dengan hasil angka nya,prabowo kaki pincang lari tiga depan delu kartun edit hasil angka,Prabowo Lapak Limp Run Three in front of Delu Cartoon Edit Results,-0.2,negative
@AminaBanoet,Kami disini khusus Papua sistem isi noken dan yang kami isi hanya daerah dan propinsi sedangkan blangko presiden untuk kami pilih tidak dikasih.   . Dan itu pun kami tidak coblos tidak buka blangkonya juga .. tinggal isi saja ..saya tanya panitia kenapa tidak dikasih ..jawaban mereka itu urusan Kpps... sampai sekarang saya masih bertanya tanya kenapa semua jawabn Urusan kpps😢,khusus papua sistem isi noken isi daerah propinsi blangko presiden pilih kasih coblos buka blangko tinggal isi panitia kasih urus kpps jawabn urus kpps,"Specifically the Noken contents system contents of the province of the province of the President, the President, choose to vote, open the blank, just fill in the committee.",0.0,neutral
@mariaimelda9440,Maaf...karna kami dari NTT khususnya kota perbatasan Timor Leste Atambua Belu..kmi siap dukung pilpers 02..P&amp;G..,maaf ntt kota batas timor leste atambua belu dukung pilpers pagi,"Sorry, NTT City of Timor Leste Atambua Belu supports the morning Pilpers",-0.5,negative
@RadenDayung,Semoga prabowo menang .,moga prabowo menang,I hope Prabowo wins,0.3,positive
@cahmonkyou8041,Masih pengitungan udah menang di TV 😂😂😂 untung ga nyblos percuma,pengitungan menang tv untung nyblos,NYBLOS TV WINNING TV WINNING,0.5,positive
@rasmuni88,Putaran ke 1000<br>Mau manggil 1000 malaikat dulu.,putar 1000mau manggil malaikat,play 1000mau call angels,0.0,neutral
@rahmat9005,"Ganjar memberi nilai kinerja pak Prabowo dengan 5 <br>dan Anis memberi nilai 11<br>Ternyata itu merupakan takdir dari pak Prabowo : karena angka 5 dan 11 adalah. <br>Dalam Al Qur&#39;an Juz 5 ayat 11 ( Surat Al Maidah ayat 11 ) berisi berikut :<br>يٰٓاَيُّهَا الَّذِيْنَ اٰمَنُوا اذْكُرُوْا نِعْمَتَ اللّٰهِ عَلَيْكُمْ اِذْ هَمَّ قَوْمٌ اَنْ يَّبْسُطُوْٓا اِلَيْكُمْ اَيْدِيَهُمْ فَكَفَّ اَيْدِيَهُمْ عَنْكُمْۚ وَاتَّقُوا اللّٰهَ ۗوَعَلَى اللّٰهِ فَلْيَتَوَكَّلِ الْمُؤْمِنُوْنَ ࣖ 11<br><br><br>11. Wahai orang-orang yang beriman! Ingatlah nikmat Allah (yang diberikan) kepadamu, ketika suatu kaum bermaksud hendak menyerangmu dengan tangannya, lalu Allah menahan tangan mereka dari kamu. Dan bertakwalah kepada Allah, dan hanya kepada Allah-lah hendaknya orang-orang beriman itu bertawakal.<br><br>dan pada Al Kitab <br>Dalam Al Kitab, Matius 5:11 berbunyi: &quot;Berbahagialah kamu, jika karena Aku kamu dicela dan dianiaya dan kepadamu difitnahkan segala yang jahat.&quot;<br><br>memang ini sungguh takdir <br><br>ALLAHUAKBAR",ganjar nilai kerja prabowo anis nilai 11ternyata takdir prabowo angka al quran juz ayat surat al maidah ayat isi orangorang iman ingat nikmat allah kepada kaum serang tangan allah tahan tangan takwa allah allah orangorang iman tawakal al kitab al kitab matius bunyi bahagia cela aniaya kepada fitnah jahat sungguh takdir allahuakbar,Harassment Value Prabowo Anis Value 11The destiny of prabowo Quranic Quran Juz verse al -maidah verses of the people of faith Remember the favor of Allah to the people of the hand of Allah holding the hand of Allah Allah the faith of the book of the book of the Book of Matthews,0.0,neutral
@pulangmalugakpulangrindu4975,Ouick coun siluman 😂😂😂,ouick coun siluman,ouick coun siluman,0.0,neutral
@iimimroah3327,Smg  kpu bwaslu dll amnah  netral jujur adil kompak brsatu prmbela kbnran...demi kslmtan  bngsa kita,moga kpu bwaslu dll amnah netral jujur adil kompak brsatu prmbela kbnran kslmtan bngsa,I hope the KPU bwaslu etc.,0.0,neutral
@pakcorona4884,Yerlalu banyakk partai rakyat bingung jd  main coblos jaman skrg yg dilihat rakyat figur. Yg kalah nglenggono,yerlalu banyakk partai rakyat bingung main coblos jaman rakyat figur kalah nglenggono,yerlah many people's parties are confused about playing voting era of the people of the figure losing nglenggono,0.04999999999999999,positive
@AzizNafian,"RAKYAT YANG MENILAI , SEBUT AJA ANGKANYA  BERAPA  GAUSAH TAKUT 15% GITU 😂😂😂😂😂😂",rakyat nilai angka takut,People of the Fear of Fear numbers,0.0,neutral
@KarelKadam,"Anis padey merakey buga tapi tak bisa menyiram dan menanam 123,curan jadi akui 02",anis padey merakey buga siram tanam cur aku,Anis Padey Merakey Buga Siram Tanam Cur Aku,0.0,neutral
@AlbertMarpaung-tm1vg,😢no 1,no,no,0.0,neutral
@sendysaluna42,Uang yang bicara cuma uang dari mana asal muasal nya ?,uang bicara uang muasal,money talking money,0.0,neutral
@kontribusi_saluran_chanel,Petarung itu harus Nerima kekalahan,tarung terima kalah,Tarung accepted losing,0.0,neutral
@kontribusi_saluran_chanel,Kalah kalah aja,kalah kalah,lose,0.0,neutral
@IvanNakal-bp7np,"masalahnya orang dulu ga knal anis sama ganjar, klo prabowo udh terkenal dri dulu",orang knal anis ganjar prabowo kenal,Knal Anis Ganjar Prabowo knows,0.0,neutral
@sendysaluna42,Sekali enter langsung 57 %,enter langsung,direct enter,0.1,positive
@mbakning7104,Lg rame di tik tok hasil hitung cepak dr cnn yg sangat mencengangkan,rame tik tok hasil hitung cepak cnn cengang,Rame Tik Tok Results Calculating Calk Cnn Cengang,0.0,neutral
@sendysaluna42,Persen tidak penting yang hitungan nya,persen hitung,percent count,0.0,neutral
@FatkhullohGalank-hu7tm,"Mudah2an ada perubahan..yang lebih baik,Amin...",ubah baikamin,Change the good,0.7,positive
@rchobby2439,Bapa aing menang gemoy🎉🎉🎉🎉🎉,bapa aing menang gemoy,Aing's father wins gemoy,0.3,positive
@NurHayati-c7q,Hai kubu 01/03 kalau dukungannya kalah jngn bnyk sngkn buruk sama 02 knapa kadang 03 malasiya ko ngg di mslhkn knpa,hai kubu dukung kalah sngkn buruk knapa kadang malasiya mslhkn,"Hi, the stronghold supports losing, why is it bad, why sometimes it is mslhkn",-0.6999999999999998,negative
@jubairlfolasimo1554,Iya krna kelompok Anies yng gerakan mahasiswa krna dialah mantan dosen,iya kelompok anies gera mahasiswa mantan dosen,yes the group of anies gera students former lecturers,0.0,neutral
@mgazaly3335,"jangan bilang ada kecurangan di antara pemilihan umum, kita dengan segenap hati nurani real dari hati yang paling ikhlas, ingatt siapapun pendukungnya dan pilihannya yang resmi nanti jadi presiden  jangan ada yang bilang curang, kalau tidak bisa menunjukan fakta dan bukti yang kuat terimakasih",bilang curang pilih segenap hati nurani real hati ikhlas ingatt dukung pilih resmi presiden bilang curang tunjuk fakta bukti kuat terimakasih,say cheating to choose all the conscience of real heart sincere remembering to support the official select the president say cheating showing facts strong evidence thank you,0.37777777777777777,positive
@andikoto9083,🎉🎉🎉slmat pak prabowo...smoga mnjdi presiden yg amnah 😇,selamat prabowo moga presiden amnah,Congratulations Prabowo Moga President Amnah,0.0,neutral
@benyna,01 unggul di seluruh indonesia gemoy curang suaranya  aeeeee waeee pica,unggul indonesia gemoy curang suara aeeeee waeee pica,superior indonesia gemoy cheating sound aeeeee waeee pica,0.55,positive
@muhamadaliansyah7362,"Qta orang Bijak, hrs bisa berfikir dgn pisitif siapapn yg menang qta hrs terima, jgn berkomen yg mengada2, yg pada dsr nya qta tdk mengetahui dgn Sepenuhnya, jgn berkoment yg membuat Negara ini menjadi Bangkrut, yg pada ahirnya Berhutang kembali kpda Negara lain, untk membiayai akibat Koment kalian😅😅😊",orang bijak pikir pisitif siapapn menang terima berkomen mengada2 dasar sepenuh berkoment negara bangkrut ahirnya hutang kpda negara biaya akibat komentar,The wise person thinks that Pisitif is ready to win,0.5666666666666667,positive
@EJL212,01 /03 ms cari celah celah hhhhhhhhhhhh..,cari celah celah hhhhhhhhhhhh,looking for gaps hhhhhhhhhhhh,0.0,neutral
@kangjeng9711,hilangkan quick count... kembali ke hitung manual.... demi kejujuran,hilang quick count hitung manual jujur,Lost Quick Count Calculate Honest Manual,0.4666666666666667,positive
@samarwanoppo6622,Prabowo Gibran yang paling terbaik,prabowo gibran baik,Prabowo Gibran is good,0.7,positive
@HasanBusroh-wx3ku,kiraain kubu malaikat jibril unggul lah ngakunya gitu  ..ternyata malaikat jibril  g kenal tuch,kiraain kubu malaikat jibril unggul ngakunya malaikat jibril kenal tuh,I guess the stronghold of the angel Jibril superiorly said that the angel Jibril knew,0.7,positive
@deassis9142,Engga percaya quick count,percaya quick count,Believe Quick Count,0.3333333333333333,positive
@alihsan7125,02 udah menang bos ku,menang bos ku,Win my boss,0.8,positive
@Vlaire._yt_,Dilihat dr yg komenbdisini aja kita semua sudah tau mna yg benar,komenbdisini tau,komenbddisini years,0.0,neutral
@Silviismawati,siapa pun yg kalah..<br>trimalah kekalahan..<br>tak perlu saling menghujat..<br>krn anda semua panutan kami<br>jadilah contoh yg baik🙏🙏,kalah trimalah kalah hujat panutan kamijadilah contoh,Losing trimes losing blasphemies our role model is an example,0.0,neutral
@jogyamotor123,Sy pribadi gak percaya Quickcount  <br>Karena banyak kecurangan <br>Sy masih menunggu hasil KPU,pribadi percaya quickcount curang tunggu hasil kpu,Personally believe Quickcount cheats waiting for the results of the KPU,0.0,neutral
